Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"8178728","","128","CPTracer","","CPT","L2_1","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8178728","","128","CPTracer","","CPT","L2_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8178728","","128","CPTracer","","CPT","L2_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8178728","","128","CPTracer","","CPT","L2_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8178728","","128","CPTracer","","CPT","L2_1","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8178728","","128","CPTracer","","CPT","L2_1","Throughput Counter0","Value","","1200","","",
"8178728","","128","CPTracer","","CPT","L2_1","Throughput Counter1","Value","","1200","","",
"8178728","","128","CPTracer","","CPT","L2_1","Total Wait Time Counter","Value","","0","","",
"8178728","","128","CPTracer","","CPT","L2_1","Total Granted Counter","Value","","300","","",
"8180403","1675","128","CPTracer","","CPT","L2_3","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","7","","",
"8180403","","128","CPTracer","","CPT","L2_3","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8180403","","128","CPTracer","","CPT","L2_3","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8180403","","128","CPTracer","","CPT","L2_3","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8180403","","128","CPTracer","","CPT","L2_3","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8180403","","128","CPTracer","","CPT","L2_3","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","7","","",
"8180403","","128","CPTracer","","CPT","L2_3","Throughput Counter0","Value","","1548","","",
"8180403","","128","CPTracer","","CPT","L2_3","Throughput Counter1","Value","","1548","","",
"8180403","","128","CPTracer","","CPT","L2_3","Total Wait Time Counter","Value","","0","","",
"8180403","","128","CPTracer","","CPT","L2_3","Total Granted Counter","Value","","387","","",
"8189047","8644","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Throughput Counter0","Value","","6400","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Throughput Counter1","Value","","6400","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Total Wait Time Counter","Value","","400","","",
"8189047","","128","CPTracer","","CPT","MSMC_3","Total Granted Counter","Value","","200","","",
"8191866","2819","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Throughput Counter0","Value","","6400","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Throughput Counter1","Value","","6400","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Total Wait Time Counter","Value","","400","","",
"8191866","","128","CPTracer","","CPT","MSMC_2","Total Granted Counter","Value","","200","","",
"8192941","1075","128","CPTracer","","CPT","DDR","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
"8192941","","128","CPTracer","","CPT","DDR","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8192941","","128","CPTracer","","CPT","DDR","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8192941","","128","CPTracer","","CPT","DDR","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8192941","","128","CPTracer","","CPT","DDR","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","1","","",
"8192941","","128","CPTracer","","CPT","DDR","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8192941","","128","CPTracer","","CPT","DDR","Throughput Counter0","Value","","800","","",
"8192941","","128","CPTracer","","CPT","DDR","Throughput Counter1","Value","","800","","",
"8192941","","128","CPTracer","","CPT","DDR","Total Wait Time Counter","Value","","200","","",
"8192941","","128","CPTracer","","CPT","DDR","Total Granted Counter","Value","","200","","",
"8193290","349","128","CPTracer","","CPT","L2_2","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","8","","",
"8193290","","128","CPTracer","","CPT","L2_2","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8193290","","128","CPTracer","","CPT","L2_2","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","2","","",
"8193290","","128","CPTracer","","CPT","L2_2","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8193290","","128","CPTracer","","CPT","L2_2","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8193290","","128","CPTracer","","CPT","L2_2","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","8","","",
"8193290","","128","CPTracer","","CPT","L2_2","Throughput Counter0","Value","","1600","","",
"8193290","","128","CPTracer","","CPT","L2_2","Throughput Counter1","Value","","1600","","",
"8193290","","128","CPTracer","","CPT","L2_2","Total Wait Time Counter","Value","","0","","",
"8193290","","128","CPTracer","","CPT","L2_2","Total Granted Counter","Value","","400","","",
"8213262","19972","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
