Type:uinteger,Time:timestampu,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:timestampu,Logger:string,Module:string,Domain:string,Local Time:timestampu,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,
,154572551057,0,C64XP_2,"LD_ready: tsk: 0x854950, func: 0x248364, pri: 1",Task_LD_ready,Unknown,,,263,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,93991058091,8735056,2392932,1,0,,,,,
,154572554254,0,C64XP_2,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x854950, newfunc: 0x248364",CtxChg,TSK,tsk1_func(),,264,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,93991060333,8865536,2764320,8735056,2392932,,,,,
6,154572555223,0,C64XP_2,Start: Math Oprns:,Start,Math Oprns,Math Oprns,,54,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,93991061011,8962009,,,,,,,,
6,154572555660,0,C64XP_2,"StartInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Start,FUNC,matmult().854950,matmult(),55,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,93991061316,8962098,8735056,2403204,0,,,,,
,154590910757,0,C64XP_2,"LM_post: event: 0x8745a0, currEvents: 0x0, eventId: 0x1",Event_LM_post,Unknown,,,265,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,94003909885,8865184,0,1,0,,,,,
,154590911314,0,C64XP_2,"LD_ready: tsk: 0x874748, func: 0x24cb14, pri: 1",Task_LD_ready,Unknown,,,266,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,94003910274,8865608,2411284,1,0,,,,,
6,154593787431,0,C64XP_2,"StopInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Stop,FUNC,matmult().854950,matmult(),56,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,94005923555,8962098,8735056,2403204,0,,,,,
6,154593787826,0,C64XP_2,"VALUE=500 (AuxData=0, 0) Key:Terms",UIAEvt_intWithKey,Unknown,Terms,500,57,Main Logger,ti.uia.events.UIAEvt,xdc.runtime.Main,94005923830,500,0,0,8962031,,,,,
6,154593976080,0,C64XP_2,Stop: Math Oprns:,Stop,Math Oprns,Math Oprns,,58,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,94006055609,8962009,,,,,,,,
,154593984574,0,C64XP_2,"LM_pend: sem: 0x855298, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,267,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,94006061555,8737432,0,4294967295,0,,,,,
,154593985071,0,C64XP_2,"LD_block: tsk: 0x854950, func: 0x248364",Task_LD_block,Unknown,,,268,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,94006061903,8735056,2392932,,,,,,,
,154593986006,0,C64XP_2,"LM_switch: oldtsk: 0x854950, oldfunc: 0x248364, newtsk: 0x874748, newfunc: 0x24cb14",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,269,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,94006062556,8735056,2392932,8865608,2411284,,,,,
,154593987926,0,C64XP_2,"LM_pend: event: 0x8745a0, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,270,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,94006063901,8865184,0,0,7,4294967295,0,0,0,
