Delta Time:ulong,Time:integer,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Micro Secs:float:decimal,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Program Address:uinteger:hex,
3696,247062,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2823.565714,,,,0,,,
,247062,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2823.565714,,,,0,,,
1888,250758,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2865.805714,,,,0,,,
,250758,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2865.805714,,,,0,,,
1885,252646,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2887.382857,,,,0,,,
,252646,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2887.382857,,,,0,,,
1883,254531,224,SM_STATISTICS_UNIT0,,SDRAM,,720,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2908.925714,,,,0,,,
,254531,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2908.925714,,,,0,,,
1887,256414,224,SM_STATISTICS_UNIT0,,SDRAM,,576,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2930.445714,,,,0,,,
,256414,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2930.445714,,,,0,,,
1884,258301,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2952.011429,,,,0,,,
,258301,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2952.011429,,,,0,,,
75,260185,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2973.542857,,,,0,,,
,260185,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2973.542857,,,,0,,,
3697,260260,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2974.400000,,,,0,,,
,260260,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2974.400000,,,,0,,,
75,263957,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3016.651429,,,,0,,,
,263957,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3016.651429,,,,0,,,
3696,264032,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3017.508571,,,,0,,,
,264032,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3017.508571,,,,0,,,
74,267728,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3059.748571,,,,0,,,
,267728,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3059.748571,,,,0,,,
3696,267802,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3060.594286,,,,0,,,
,267802,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3060.594286,,,,0,,,
1887,271498,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3102.834286,,,,0,,,
,271498,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3102.834286,,,,0,,,
1884,273385,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3124.400000,,,,0,,,
,273385,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3124.400000,,,,0,,,
74,275269,224,SM_STATISTICS_UNIT0,,SDRAM,,624,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3145.931429,,,,0,,,
,275269,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3145.931429,,,,0,,,
3697,275343,224,SM_STATISTICS_UNIT0,,SDRAM,,672,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3146.777143,,,,0,,,
,275343,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3146.777143,,,,0,,,
1887,279040,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3189.028571,,,,0,,,
,279040,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3189.028571,,,,0,,,
1883,280927,224,SM_STATISTICS_UNIT0,,SDRAM,,688,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3210.594286,,,,0,,,
,280927,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3210.594286,,,,0,,,
1887,282810,224,SM_STATISTICS_UNIT0,,SDRAM,,608,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3232.114286,,,,0,,,
,282810,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3232.114286,,,,0,,,
1884,284697,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3253.680000,,,,0,,,
,284697,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3253.680000,,,,0,,,
1887,286581,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3275.211429,,,,0,,,
,286581,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3275.211429,,,,0,,,
1884,288468,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3296.777143,,,,0,,,
,288468,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3296.777143,,,,0,,,
1887,290352,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3318.308571,,,,0,,,
,290352,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3318.308571,,,,0,,,
1883,292239,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3339.874286,,,,0,,,
,292239,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3339.874286,,,,0,,,
75,294122,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3361.394286,,,,0,,,
,294122,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3361.394286,,,,0,,,
3697,294197,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3362.251429,,,,0,,,
,294197,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3362.251429,,,,0,,,
1884,297894,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3404.502857,,,,0,,,
,297894,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3404.502857,,,,0,,,
1887,299778,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3426.034286,,,,0,,,
,299778,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3426.034286,,,,0,,,
1884,301665,224,SM_STATISTICS_UNIT0,,SDRAM,,592,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3447.600000,,,,0,,,
,301665,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3447.600000,,,,0,,,
1887,303549,224,SM_STATISTICS_UNIT0,,SDRAM,,704,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3469.131429,,,,0,,,
,303549,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3469.131429,,,,0,,,
1883,305436,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3490.697143,,,,0,,,
,305436,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3490.697143,,,,0,,,
1888,307319,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3512.217143,,,,0,,,
,307319,224,SM_STATISTICS_UNIT0,,SDRAM,,784,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3512.217143,,,,0,,,
70,309207,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3533.794286,,,,0,,,
,309207,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3533.794286,,,,0,,,
3700,309277,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3534.594286,,,,0,,,
,309277,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3534.594286,,,,0,,,
74,312977,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3576.880000,,,,0,,,
,312977,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3576.880000,,,,0,,,
3697,313051,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3577.725714,,,,0,,,
,313051,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3577.725714,,,,0,,,
1884,316748,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3619.977143,,,,0,,,
,316748,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3619.977143,,,,0,,,
1887,318632,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3641.508571,,,,0,,,
,318632,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3641.508571,,,,0,,,
1884,320519,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3663.074286,,,,0,,,
,320519,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3663.074286,,,,0,,,
74,322403,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3684.605714,,,,0,,,
,322403,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3684.605714,,,,0,,,
3697,322477,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3685.451429,,,,0,,,
,322477,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3685.451429,,,,0,,,
74,326174,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3727.702857,,,,0,,,
,326174,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3727.702857,,,,0,,,
3697,326248,224,SM_STATISTICS_UNIT0,,SDRAM,,592,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3728.548571,,,,0,,,
,326248,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3728.548571,,,,0,,,
75,329945,224,SM_STATISTICS_UNIT0,,SDRAM,,704,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3770.800000,,,,0,,,
,329945,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3770.800000,,,,0,,,
3697,330020,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3771.657143,,,,0,,,
,330020,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3771.657143,,,,0,,,
1884,333717,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3813.908571,,,,0,,,
,333717,224,SM_STATISTICS_UNIT0,,SDRAM,,752,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3813.908571,,,,0,,,
74,335601,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3835.440000,,,,0,,,
,335601,224,SM_STATISTICS_UNIT0,,SDRAM,,672,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3835.440000,,,,0,,,
3696,335675,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3836.285714,,,,0,,,
,335675,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3836.285714,,,,0,,,
1888,339371,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3878.525714,,,,0,,,
,339371,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3878.525714,,,,0,,,
1884,341259,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3900.102857,,,,0,,,
,341259,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3900.102857,,,,0,,,
74,343143,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3921.634286,,,,0,,,
,343143,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3921.634286,,,,0,,,
3697,343217,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3922.480000,,,,0,,,
,343217,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3922.480000,,,,0,,,
1884,346914,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3964.731429,,,,0,,,
,346914,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3964.731429,,,,0,,,
1887,348798,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3986.262857,,,,0,,,
,348798,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,3986.262857,,,,0,,,
74,350685,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4007.828571,,,,0,,,
,350685,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4007.828571,,,,0,,,
3697,350759,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4008.674286,,,,0,,,
,350759,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4008.674286,,,,0,,,
1883,354456,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4050.925714,,,,0,,,
,354456,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4050.925714,,,,0,,,
1887,356339,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4072.445714,,,,0,,,
,356339,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4072.445714,,,,0,,,
75,358226,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4094.011429,,,,0,,,
,358226,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4094.011429,,,,0,,,
3695,358301,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4094.868571,,,,0,,,
,358301,224,SM_STATISTICS_UNIT0,,SDRAM,,720,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4094.868571,,,,0,,,
1887,361996,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4137.097143,,,,0,,,
,361996,224,SM_STATISTICS_UNIT0,,SDRAM,,704,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4137.097143,,,,0,,,
1883,363883,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4158.662857,,,,0,,,
,363883,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4158.662857,,,,0,,,
1887,365766,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4180.182857,,,,0,,,
,365766,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4180.182857,,,,0,,,
75,367653,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4201.748571,,,,0,,,
,367653,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4201.748571,,,,0,,,
3695,367728,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4202.605714,,,,0,,,
,367728,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4202.605714,,,,0,,,
74,371423,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4244.834286,,,,0,,,
,371423,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4244.834286,,,,0,,,
3698,371497,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4245.680000,,,,0,,,
,371497,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4245.680000,,,,0,,,
1883,375195,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4287.942857,,,,0,,,
,375195,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4287.942857,,,,0,,,
1887,377078,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4309.462857,,,,0,,,
,377078,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,4309.462857,,,,0,,,
