,GPIO57,,,,,,,,EPI0S17,USB0PFLT(d),,I2C1SDA,,,,,MIIRXDV(d),SSI0FSS,,,GPIO57,SPISTEA,,EQEP3I
,GPIO58,,,,,,,,EPI0S18,CCP0,,,,,,,MIIRXCK(d),SSI0CLK,U0TX,,GPIO58,MCLKRA,,EPWM7A
,GPIO59,,,,,,,,EPI0S19,,CCP6,,,,,,MIIMDC(d),SSI0FSS,U0RX,,GPIO59,MFSRA,,EPWM7B
,GPIO60,,,,,,,,EPI0S28,,CCP4,,,,,,MIICOL(d),SSI1CLK,,,GPIO60,,,EPWM8A
,GPIO61,,,,,,,,EPI0S29,,CCP2,,,,,,MIICRS(d),SSI1FSS,,,GPIO61,,,EPWM8B
,GPIO62,,,,,,,,EPI0S30,,CCP1,,,,,,MIIPHYINTRn(d),U2RX,,,GPIO62,,,EPWM9A
,GPIO63/XCLKIN,,,,,,,,,,CCP0,,,,,,MIIPHYRSTn(d),U2TX,,,GPIO63/XCLKIN,,,EPWM9B
,GPIO64(d),,,,,,,,,,,,,,,,,,,,GPIO64(d),,,
,GPIO65(d),,,,,,,,,,,,,,,,,,,,GPIO65(d),,,
,GPIO66(d),,,,,,,,,,,,,,,,,,,,GPIO66(d),,,
,GPIO67(d),,,,,,,,,,,,,,,,,,,,GPIO67(d),,,
,GPIO68,CCP5,,MIITXD3(d),,CCP2,CCP4,,EPI0S2,CCP1,,,,,,,,,,,GPIO68,,,
,GPIO69,CCP1,,,,CCP3,USB0EPEN(d),,EPI0S3,,,,,,,,,,,,GPIO69,,,
,GPIO70,CCP3,,,,U1RX,CCP0,USB0PFLT(d),EPI0S4,,,,,,,,,,,,GPIO70,,,
,GPIO71,CCP4,,,CCP0,U1TX,USB0PFLT(d),,EPI0S5,,,,,,,,,,,,GPIO71,,,
