Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg,
6,501449764142,0,C64XP_D,"StopInstanceWithAdrs: task=0x854950, fnAdrs=0x24ae00:",Stop,FUNC,matmult().854950,matmult(),11121,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,79485750951,8963548,8735056,2403840,0,,,,,,
6,501449764571,0,C64XP_D,"StartInstanceWithAdrs: task=0x854950, fnAdrs=0x24ab0c:",Start,FUNC,exponentialFunction().854950,exponentialFunction(),11122,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,79485751256,8963548,8735056,2403084,0,,,,,,
6,501449764948,0,C64XP_D,"VALUE=900 (AuxData=0, 0) Key:Terms",UIAEvt_intWithKey,Unknown,Terms,900,11123,Main Logger,ti.uia.events.UIAEvt,xdc.runtime.Main,79485751520,900,0,0,8964200,,,,,,
6,501450029025,0,C64XP_D,"StopInstanceWithAdrs: task=0x854950, fnAdrs=0x24ab0c:",Stop,FUNC,exponentialFunction().854950,exponentialFunction(),11124,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,79485936370,8963548,8735056,2403084,0,,,,,,
6,501450029505,0,C64XP_D,Stop: Math Oprns: ,Stop,,Math Oprns:,,11125,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,79485936710,8964178,,,,,,,,,
,501450038419,0,C64XP_D,"LM_pend: sem: 0x855b18, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,18877,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,79485942950,8739608,0,4294967295,0,,,,,,
,501450038985,0,C64XP_D,"LD_block: tsk: 0x854950, func: 0x248544",Task_LD_block,Unknown,tsk1_func(),,18878,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,79485943345,8735056,2393412,,,,,,,,
,501450040108,0,C64XP_D,"LM_switch: oldtsk: 0x854950, oldfunc: 0x248544, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,18879,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,79485944128,8735056,2393412,8865544,2799392,,,,,,
,501450045791,0,C64XP_E,"LM_post: sem: 0x855b18, count: 0",Semaphore_LM_post,Unknown,,,18480,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,78491651655,8739608,0,,,,,,,,
,501450046322,0,C64XP_E,"LD_ready: tsk: 0x854950, func: 0x248544, pri: 1",Task_LD_ready,Unknown,tsk1_func(),,18481,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,78491652024,8735056,2393412,1,0,,,,,,
,501450049751,0,C64XP_E,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x854950, newfunc: 0x248544",CtxChg,TSK,tsk1_func(),,18482,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,78491654428,8865544,2799392,8735056,2393412,,,,,,
6,501450050754,0,C64XP_E,Start: Math Oprns: ,Start,,Math Oprns:,,11119,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78491655128,8964178,,,,,,,,,
6,501450051268,0,C64XP_E,"StartInstanceWithAdrs: task=0x854950, fnAdrs=0x24ae00:",Start,FUNC,matmult().854950,matmult(),11120,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78491655489,8963548,8735056,2403840,0,,,,,,
,501462446745,0,C64XP_A,"LM_post: sem: 0x856360, count: 0",Semaphore_LM_post,Unknown,,,20013,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80622299977,8741728,0,,,,,,,,
,501462447268,0,C64XP_A,"LD_ready: tsk: 0x8746c0, func: 0x2a44a0, pri: 2",Task_LD_ready,Unknown,ti_ndk_config_Global_stackThread(),,20014,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80622300341,8865472,2770080,2,0,,,,,,
,501462447928,0,C64XP_A,"LM_post: event: 0x8745a8, currEvents: 0x0, eventId: 0x1",Event_LM_post,Unknown,,,20015,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80622300804,8865192,0,1,0,,,,,,
,501462448468,0,C64XP_A,"LD_ready: tsk: 0x874750, func: 0x24cc20, pri: 1",Task_LD_ready,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,20016,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80622301179,8865616,2411552,1,0,,,,,,
