Program Address:uinteger:hex,Load Address:uinteger:hex,Read Data:ulong,Write Data:ulong,Delta Cycles:ulong,Cycle:long,Trace Status:string,Filename:string,Function:string,Source:string,Disassembly:string,
"0x88185660","0x88185660","","","1","15008","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_get32__E()","{","           STW.D2T2      B3,*B15--[2]",
"0x88185664","0x88185664","","","1","15009","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_get32__E()","    return ti_sysbios_family_c64p_TimestampProvider_get32();","           CALLP.S2      0x881840a0,B3",
"","","","","995","15010","","","","","",
"0x8817C0C2","0x8817C0C2","","","1","16005","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Queue.c","ti_sysbios_knl_Task_deleteTerminatedTasksFunc__I()","<Source file not found>","           ADD.L2X       B4,A3,B4",
"0x8817C0C4","0x8817C0C4","","","1","16006","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Queue.c","ti_sysbios_knl_Task_deleteTerminatedTasksFunc__I()","","           LDW.D2T2      *B4[0],B6",
"","","","","1002","16007","","","","","",
"0x88185668","0x88185668","","","1","17009","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_get32__E()","}","           LDW.D2T2      *++B15[2],B3",
"0x8818566C","0x8818566C","","","1","17010","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_get32__E()","","           NOP           4",
"","","","","998","17011","","","","","",
"0x8817C100","0x8817C100","","","6","18009","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Task.c","ti_sysbios_knl_Task_deleteTerminatedTasksFunc__I()","<Source file not found>","           BNOP.S2       B3,5",
"0x8817BE70","0x8817BE70","","","1","18015","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           LDW.D2T2      *+B11[0],B4",
"","","","","994","18016","","","","","",
"0x881856B0","0x881856B0","","","6","19010","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_get32__E()","}","           BNOP.S2       B3,5",
"0x8815B428","0x8815B428","","","1","19016","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           MVK.S1        0x09f8,A3",
"","","","","995","19017","","","","","",
"0x8817BE64","0x8817BE64","","","4","20012","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           NOP           4",
"0x8817BE68","0x8817BE68","","","1","20016","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           B.S2X         A3",
"","","","","992","20017","","","","","",
"0x8815B448","0x8815B448","","","1","21009","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           SUB.L1        A4,A8,A4",
"0x8815B44C","0x8815B44C","","","","21009","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         STW.D1T1      A6,*+A3[27]",
"0x8815B450","0x8815B450","","","1","21010","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           ADD.L1        A4,A7,A6",
"","","","","999","21011","","","","","",
"0x8815B2E8","0x8815B2E8","","","1","22010","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           NOP           ",
"0x8815B2EC","0x8815B2EC","","","1","22011","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","           CALLP.S2      0x881856c0,B3",
"0x8815B2F0","0x8815B2F0","","","","22011","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         ADD.L1X       4,B15,A4",
"","","","","1013","22012","","","","","",
"0x8815B4A8","0x8815B4A8","","","1","23025","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           LDW.D2T2      *++B15[2],B10",
"0x8815B4AC","0x8815B4AC","","","1","23026","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","           BNOP.S2       B3,5",
"","","","","994","23027","","","","","",
"0x88185688","0x88185688","","","6","24021","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_getFreq__E(struct xdc_runtime_Types_FreqHz *)","    ti_sysbios_family_c64p_TimestampProvider_getFreq(freq);","           CALLP.S2      0x88183e00,B3",
"0x88183E00","0x88183E00","","","1","24027","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","<Source file not found>","           MVK.S1        0x0418,A3",
"","","","","989","24028","","","","","",
"0x8817BE70","0x8817BE70","","","1","25017","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           LDW.D2T2      *+B11[0],B4",
"0x8817BE74","0x8817BE74","","","1","25018","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","           ADD.L1        1,A10,A10",
"","","","","995","25019","","","","","",
"0x88183E08","0x88183E08","","","1","26014","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","<Source file not found>","           LDNDW.D1T1    *+A3[0],A7:A6",
"0x88183E0C","0x88183E0C","","","1","26015","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/BIOS.c","ti_sysbios_BIOS_getCpuFreq__E(struct xdc_runtime_Types_FreqHz *)","","           NOP           4",
"","","","","1007","26016","","","","","",
"0x8817BE8C","0x8817BE8C","","","1","27023","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           MVC.S2        B10,CSR",
"0x8817BE90","0x8817BE90","","","1","27024","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           BNOP.S1       0x8817be28,5",
"","","","","991","27025","","","","","",
"0x88185694","0x88185694","","","6","28016","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_SupportProxy_getFreq__E(struct xdc_runtime_Types_FreqHz *)","}","           BNOP.S2       B3,5",
