Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg:string,
,51858773876,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57647,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34726484323,8865256,,,,,,,,,
,51859771547,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252dea",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57648,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727182692,8864704,2791456,2,14,2436586,0,0,0,,
,51859771959,0,C64XP_B,LM_tick: tick: 43773,Clock_LM_tick,Unknown,,,57649,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34727182979,43773,,,,,,,,,
,51859772379,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57650,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34727183274,8865256,2705792,15,0,,,,,,
,51859772747,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57651,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727183533,8864704,,,,,,,,,
,51859773142,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57652,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34727183809,8865256,2705792,0,0,,,,,,
,51859773716,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57653,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34727184209,8865256,,,,,,,,,
,51860771550,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252df6",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57654,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727882694,8864704,2791456,2,14,2436598,0,0,0,,
,51860771962,0,C64XP_B,LM_tick: tick: 43774,Clock_LM_tick,Unknown,,,57655,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34727882981,43774,,,,,,,,,
,51860772382,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57656,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34727883276,8865256,2705792,15,0,,,,,,
,51860772750,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57657,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34727883535,8864704,,,,,,,,,
,51860773144,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57658,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34727883811,8865256,2705792,0,0,,,,,,
,51860773719,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57659,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34727884211,8865256,,,,,,,,,
,51861771562,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252d74",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57660,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34728582698,8864704,2791456,2,14,2436468,0,0,0,,
,51861771964,0,C64XP_B,LM_tick: tick: 43775,Clock_LM_tick,Unknown,,,57661,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34728582985,43775,,,,,,,,,
,51861772393,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57662,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34728583280,8865256,2705792,15,0,,,,,,
,51861772762,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57663,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34728583539,8864704,,,,,,,,,
,51861773156,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57664,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34728583815,8865256,2705792,0,0,,,,,,
,51861773722,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57665,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34728584215,8865256,,,,,,,,,
,51862771556,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252de2",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57666,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34729282698,8864704,2791456,2,14,2436578,0,0,0,,
,51862771967,0,C64XP_B,LM_tick: tick: 43776,Clock_LM_tick,Unknown,,,57667,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34729282985,43776,,,,,,,,,
,51862772387,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57668,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34729283280,8865256,2705792,15,0,,,,,,
,51862772756,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57669,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34729283539,8864704,,,,,,,,,
