Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Trace Position Data,Program Address:uinteger,Load Address:uinteger,
,,,,,,,,,,,,,Start of trace,,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,79,9565,,,158,1444569,,0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,9690,,,256,1444727,,0x41 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,10192,,,1004,1444983,,0x42 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,272,10464,,,552,1445987,,0x43 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,20,10484,,,38,1446539,,0x44 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,1,10485,,,2,1446577,,0x45 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,1,10486,,,1,1446579,,0x46 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,10488,,,15,1446580,,0x47 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,10780,,,592,1446595,,0x48 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,80,10860,,,158,1447187,,0x49 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
