,GPIO44,,,,,,,ODPPULLDN,,,,,,,,,,,CAN1Rx,,GPIO44,,,
,GPIO45,CCP5,,,,,,OLSD_2_N,EPI0S40,,U1DTR,,,,,,,,,,GPIO45,,,
,GPIO46,,,,,,,OLSD_1_N,EPI0S41,,U1RI,,,,,,,,,,GPIO46,,,
,GPIO47,,,,,,,OIDPULLUP,CCP5,EPI0S31,,,,,,,,,,,GPIO47,,,
,GPIO48,CCP6,,,,,,OSPEED,EPI0S6,,,,,,,,,SSI3Tx,,,GPIO48,ECAP5,,
,GPIO49,CCP7,,,,,,OSUSPEND,EPI0S7,,,,,,,,,SSI3Rx,,,GPIO49,ECAP6,,
,GPIO50,,,,,,,OOE,EPI0S1,,,,,,,,,SSI3Clk,,,GPIO50,EQEP1A,,
,GPIO51,,,,,,,ODMSE0,EPI0S0,,,,,,,,,SSI3Fss,,,GPIO51,EQEP1B,,
,GPIO52,,,,,,,ODPDAT,EPI0S10,,,SSI1Clk,,,,,,U3Tx,,,GPIO52,EQEP1S,,
,GPIO53,,,,,,,,EPI0S11,,,SSI1Fss,,,,,,U3Rx,,,GPIO53,EQEP1I,,
,GPIO54,,,,,,,,EPI0S26,,,SSI1Rx,,,,,,SSI0Tx,,,GPIO54,SPISIMOA,,EQEP3A
,GPIO55,,,,,,,,EPI0S27,,,SSI1Tx,,,,,,SSI0Rx,,,GPIO55,SPISOMIA,,EQEP3B
,GPIO56,,,,,,,,EPI0S16,,,I2C1SCL,,,,,,SSI0Clk,,,GPIO56,SPICLKA,,EQEP3S
,GPIO57,,,,,,,,EPI0S17,,,I2C1SDA,,,,,,SSI0Fss,,,GPIO57,SPISTEA,,EQEP3I
,GPIO58,,,,,,,,EPI0S18,CCP0,,,,,,,,SSI0Clk,U0Tx,,GPIO58,MCLKRA,,EPWM7A
,GPIO59,,,,,,,,EPI0S19,U1CTS,CCP6,,,,,,,SSI0Fss,U0Rx,,GPIO59,MFSRA,,EPWM7B
,GPIO60,,,,,,,,EPI0S28,U1DCD,CCP4,,,,,,,SSI1Clk,,,GPIO60,,,EPWM8A
,GPIO61,,,,,,,,EPI0S29,U1DSR,CCP2,,,,,,,SSI1Fss,,,GPIO61,,,EPWM8B
,GPIO62,,,,,,,,EPI0S30,U1RTS,CCP1,,,,,,,U2Rx,,,GPIO62,,,EPWM9A
,GPIO63/XCLKIN,,,,,,,,,U1DTR,CCP0,,,,,,,U2Tx,,,GPIO63/XCLKIN,,,EPWM9B
,GPIO64,,,,,,,,EPI0S32,,,,,,,,,,,,GPIO64,EQEP1A,EQEP2I,
,GPIO65,,,,,,,,EPI0S33,,,,,,,,,,,,GPIO65,EQEP1B,EQEP2S,
,GPIO66,,,,,,,,EPI0S37,,,,,,,,,,,,GPIO66,EQEP1S,EQEP2A,
